name,area,employer,salary_from,salary_to,currency,description,specialization,profarea,schedule,experience
Официант,Бишкек,ОсОО NAR,80000,100000,RUR,<p><strong>Обязанности:</strong></p> <ul> <li>Обслуживание клиентов;</li> <li>Сервис.</li> </ul> <p><strong>Требования:</strong></p> <p>Ответственность;</p> <p>Стрессоустойчивость;</p> <p>Коммуникабельность.</p> <p><strong>Условия:</strong></p> <p>Работа в центре города;</p> <p>Еженедельные выплаты зарплаты.</p> <p> </p> <p> </p>,"Начальный уровень, Мало опыта","Туризм, гостиницы, рестораны",Полный день,От 1 года до 3 лет
Оператор FUN CITY,Бишкек,ОсОО МГ Туризм,18000,,KGS,<strong>Обязанности:</strong> <ul> <li>Обслуживание клиентов FUN CITY;</li> <li>Запуск игровых машин;</li> <li>Выдача талонов.</li> </ul> <strong>Требования:</strong> <ul> <li>Коммуникабельность;</li> <li>Любовь к детям;</li> <li>Ответственность и приветливость.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление официальное согласно ТК КР;</li> <li>График 5/2 с 10.00 до 22.00;</li> <li>Молодой и дружный коллектив;</li> <li>Униформа бесплатная;</li> <li>Питание 2-х разовое бесплатное</li> </ul> <div> <div> <div> </div> </div> </div>,Прямые продажи,Продажи,Полный день,Нет опыта
Менеджер по закупкам (Удалённо),Бишкек,ProductFit,400,800,USD,"<p>Добрый день!</p> <p><strong>Мы - ProductFit. </strong></p> <p>Мы разрабатываем веб-сервисы и помогаем найти клиентов стартапам.</p> <p>Ищем менеджера по закупкам вторсырья для проекта в области экологии.</p> <p> </p> <p><strong>Обязательно:</strong></p> <p>• Бодрая жизненная позиция</p> <p>• Ответственность за то, в каком мире живешь</p> <p>• Желание оздоровить людей вокруг</p> <p>• Готовность много работать и зарабатывать</p> <p> </p> <p><strong>Желательно:</strong></p> <p>• Знание отрасли вторсырья и полимеров будет очень большим преимуществом;</p> <p>• Опыт на должности менеджер по продажам/закупкам будет преимуществом;</p> <p> </p> <p><strong>Условия:</strong></p> <p>• Полностью удаленная работа без привязки к офису;</p> <p>• Стабильные выплаты (оклад+KPI)</p> <p>• График работы 5/2 с 9:00 до 18:00 (по московскому времени);</p> <p>• Возможность вертикального и горизонтального развития в компании.</p> <p> </p> <p> </p> <p><strong>Обязанности:</strong></p> <p>• Работа с поставщиками вторсырья:</p> <p>- Активный поиск и привлечение новых поставщиков</p> <p>- Обработка поступающих заявок</p> <p>- Согласование условий сотрудничества</p> <p>• Прием заявок</p> <p>• Составление и ведение баз данных клиентов</p>",Продукты питания,Закупки,Удаленная работа,Нет опыта
Продавец,Бишкек,LOVE JUICE,25000,35000,KGS,<strong>Обязанности:</strong> <ul> <li>реализация фреш соков</li> <li>кофе</li> <li>мороженое</li> <li>ведение кассы</li> <li>работа с клиентом</li> <li>приготовление коктейлей/смузи</li> </ul> <strong>Требования:</strong> <ul> <li>можно с опытом и без опыта</li> </ul> <strong>Условия:</strong> <ul> <li>оплата каждый день 800+% с продаж</li> <li>график с 10:00 до 22:00 с понедельника по пятницу и вторая смена выходные</li> </ul>,Розничная торговля,Продажи,Полный день,Нет опыта
Помощник продавца,Бишкек,Askar Plast,30000,38000,KGS,"<strong>Обязанности:</strong> <ul> <li>Консультация клиентов по телефону</li> <li>Встреча клиентов с ресепшна, приём заказов и решение всех задач</li> <li>Заполнение отчётных документов (обучим сами)</li> </ul> <strong>Требования:</strong> <ul> <li>Владеющие русским и кыргызским языком. (Один из языков тоже можно).</li> <li>Работа с задачами руководителя (Руководитель молодой, не конфликтный)</li> <li>Опыт работы не требуется, нужны просто быстро обучаемые люди.</li> </ul> <strong>Условия:</strong> <ul> <li>Возможно график подстроить под вас (5 часов работы в день)</li> <li>Достойная оплата и премии каждую неделю.</li> <li>Работа в уютном, теплом месте в центре города.</li> <li>Официальное трудоустройство, оплата без задержек.</li> </ul>",Персональный ассистент,Административный персонал,Гибкий график,Нет опыта
Менеджер по привлечению клиентов,Бишкек,Макаров Александр Олегович,65000,100000,RUR,"<p><strong>Обязанности:</strong></p> <p>• Организация встреч с клиентами<br />• Заключение сделок<br />• Создание стратегий продаж<br />• Поиск потенциальных клиентов<br />• Проведение переговоров, целью которых является продажа услуг<br />• Разработка собственного плана продаж и контроль над его выполнением<br />• Продвижение бренда<br />• Ведение и работа с уже имеющимися клиентами<br />• Поиск и привлечение новых клиентов<br />• Увеличение продаж</p> <p> </p> <p><strong>Требования:</strong></p> <p>- Хорошие коммуникативные навыки<br />- Умение работать с возражениями<br />- Уверенный пользователь ПК<br />- Грамотная устная и письменная речь (на русском и китайском языках)<br />- Опыт работы в продажах приветствуется<br />- Ответственность<br />- Стрессоустойчивость<br />- Внимательность<br />- Умение работать в команде</p> <p>(знание китайского будет плюсом)</p> <p><br /><strong>Условия:</strong></p> <p>- Полная занятость<br />- Оформление по договору<br />- Достойная заработная плата + проценты от продаж<br />- Дружный коллектив<br />- Корпоративное обучение<br />- Денежная компенсация питания сотрудникам<br />-Кандидат должен быть готов к переезду в другую страну</p> <p> </p> <p> </p>",Розничная торговля,Продажи,Полный день,Нет опыта
Удаленный помощник руководителя (4 часа в день),Бишкек,ОсОО Один Плюс,10000,10000,KGS,"<p>Компания ищет удалённого помощника руководителя.(4 часа в день)<br />График работы - 5 дней в неделю по 4 часа в день.</p> <p>Задачи разноплановые.<br />80% работы поиск информации в интернете, работа с ворд, Эксель, деловая переписка.<br />20% звонки - не продажи.<br /><br />Требования<br />Грамотный русский язык<br />(Письменный и устный)<br />Хорошие навыки работы с Эксель и Ворд, умение поиска информации на английском языке.<br />Плюсом будут навыки работы с фото, презентациями.<br /><br />Аккуратность, порядочность, пунктуальность, умение общаться. Наличие тихого места для звонков.<br /><br />Работа удалённая.<br />5/2 4 часа в день<br />Можно с перерывами и часть времени вечером.<br />Связь оплачивается.<br />З\п 10000 в мес.</p>",Персональный ассистент,Административный персонал,Удаленная работа,От 1 года до 3 лет
Модератор,Бишкек,Хайдаров Азиз Паттоевич,45000,55000,RUR,"<p>В нашу распределенную команду требуется сотрудник. Работа немного монотонная и требует усидчивости. Если тебя не пугает рутина, смело откликайся.</p> <p>Обязанности:</p> <ul> <li>Создание и ведение аккаунтов в социальных сетях;</li> <li>Проведение технической подготовки аккаунтов к дальнейшему использованию по видео-инструкциям;</li> <li>Ведение отчетности.</li> </ul> <p> </p> <p>Требования:</p> <ul> <li>Внимательность, аккуратность;</li> <li>Сообразительность, умение искать информацию в сети Интернет;</li> <li>Базовое знание английского языка, умение разобраться в тексте с помощью словаря.</li> </ul> <p> </p> <p>Условия:</p> <ul> <li>Сдельная и своевременная оплата труда;</li> <li>Удаленная работа;</li> <li>Подробные видео-инструкции и обучение;</li> <li>Гибкий график работы, возможность «двигать» часы загрузки во время рабочего дня;</li> <li>Все необходимые инструменты для работы.</li> </ul>",Контент,"Информационные технологии, интернет, телеком",Удаленная работа,Нет опыта
Офис-менеджер,Бишкек,Стил Центр,20000,25000,KGS,<strong>Обязанности:</strong> <ul> <li>работа с арендаторами</li> <li>полное обеспечение бизнес центра</li> </ul> <strong>Требования:</strong> <ul> <li>знание ПК</li> <li>знание языков преимущественно</li> </ul> <strong>Условия работы:</strong> <ul> <li>график с 09.00-18.00</li> <li>6/7</li> </ul>,Управляющий офисом (Оffice manager),Административный персонал,Полный день,От 1 года до 3 лет
Менеджер по работе с клиентами,Бишкек,ОсОО Наба Групп,30000,60000,KGS,"<p>Компания Ntek уже 12 лет на рынке Кыргызстана. Мы предлагаем премиальные инновационные решения в сфере строительства (более подробно на странице @ntek.kg) и в связи с увеличением штата приглашаем на работу менеджеров по работе с клиентами.</p> <p>Ищем грамотно разговаривающего менеджера, готового расти по карьерной лестнице </p> <p><strong>Обязанности:</strong></p> <ul> <li>Прием звонков</li> <li>Отвечать на сообщения клиентов</li> <li>Консультировать клиентов</li> <li>Вести базу в СРМ Битрикс24</li> <li>Составлять КП и договора</li> </ul> <strong>Требования:</strong> <ul> <li>знание кыргызского и русского языков</li> <li>опыт работы не менее 1 года на соответствующей позиции (менеджером по продажам, оператором в call центре, менеджером по работе с клиентами)</li> </ul> <strong>Условия:</strong> <ul> <li>График работы с 9.00 до 18.00 5/2</li> <li>Оклад 15000+% (в среднем от 40 000 сом)</li> <li>Оформление согласно ТК КР</li> </ul>",Прямые продажи,Продажи,Полный день,От 1 года до 3 лет
Торговый представитель,Бишкек,Тасмин Корпорейшн,25000,60000,KGS,"<strong>Обязанности:</strong> <ul> <li>Мы компания BeautyMed - на рынке Кыргызстана уже более 15 лет. Нас любят и нам доверяют и мы в свою очередь стремимся всегда создавать комфортные условия сотрудничества! Мы являемся эксклюзивными дистрибьюторами многих известных брендов как Gigi, Keune, AlfaParf Milano и многих других<br />В нашу растущую компанию требуется торговый – представитель, работающий на результат, с огромным желанием роста и перспективы!</li> <li>посещение клиентов</li> <li>расширение клиентской базы</li> <li>проведение ежедневных консультаций на территории клиента</li> <li>активные продажи</li> </ul> <strong>Требования:</strong> <ul> <li>презентабельный внешний вид</li> <li>грамотно поставленная речь</li> <li>опыт работы приветствуется, но не обязателен (стажировка оплачиваемая)</li> <li>знание кыргызского языка (разговорный)</li> <li>умение находить общий язык</li> <li>быстрая обучаемость</li> <li>стрессоустойчивость</li> <li>умение работать в команде</li> </ul> <strong>Условия:</strong> <ul> <li>удобный офис в центре города</li> <li>корпоративные мероприятия за счет компании</li> <li>обучение с нуля всем тонкостям работы</li> <li>стабильная и своевременная заработная плата</li> <li>рабочий день с 9:00-18:00, 5 дней в неделю</li> <li>дружный коллектив и мудрый наставник</li> <li>комфортные условия для достижения всех поставленных задач</li> <li>премии за перевыполнения плана</li> </ul>",Прямые продажи,Продажи,Полный день,Нет опыта
Юрист,Бишкек,ОсОО МКК А.Г.А.Инвест,40000,60000,KGS,"<strong>Обязанности:</strong> <ul> <li>Обеспечение соблюдения законности в деятельности филиала и защиту его правовых интересов</li> <li>Оказание юридической консультации</li> <li>Участие в подготовке и заключении различных договоров</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы в финансово-кредитных учреждениях – не менее 2-х лет</li> <li>Высшее юридическое образование</li> <li>Хорошие навыки работы на компьютере (MS office), навыки работы в системе ТОКТОМ</li> <li>Аккуратность, ответственность в делах, коммуникабельность, честность, исполнительность и умение работать в команде</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное трудоустройство</li> <li>Соцпакет, премии</li> </ul>",Договорное право,Юристы,Полный день,От 1 года до 3 лет
Ассистент водителя доставки,Бишкек,Дарк Хорс Интернешнл,,22000,KGS,"<strong>Обязанности:</strong> <p>-Помощь Водителю по своевременной доставке товара в торговые точки.</p> <p>-Замена водителя во время его отсутствия (отпуск, болезнь и т.д).</p> <p>-Прием товара по документам со склада и размещение его в кузове автомашины.</p> <p>-Прием - передача товара в торговой точке с надлежащим оформлением документов.</p> <p>-Обеспечение чистоты автомашины.</p> <strong>Требования:</strong> <ul> <li>Военный билет (для военнообязанных)</li> <li>Вакцинация (в случаях установленных действующим законодательством).</li> <li>Категория прав В,С</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное трудоустройство</li> <li>Стабильный оклад + бонус</li> <li>Карьерный рост</li> </ul>",Розничная торговля,Продажи,Полный день,Нет опыта
Мерчендайзер,Бишкек,Туркуаз Трейд,43000,47000,KGS,"<strong>Обязанности:</strong> <ul> <li>Выкладка товара</li> <li>Составление заказов</li> <li>Пополнение товарного запаса в магазине</li> <li>Проверка сроков годности продукции</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>энергичность</li> <li>мобильность</li> <li>стрессоустойчивость</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Пятидневная рабочая неделя, субб и воск выходной</li> <li>Трудоустройство согласно ТК КР.</li> </ul>",Розничная торговля,Продажи,Полный день,От 1 года до 3 лет
"Специалист по обработке обращений клиентов через WhatsApp, Telegram, Instagram",Бишкек,Молдоканова Н. Ж,25000,35000,KGS,"<strong>Обязанности:</strong> <ul> <li> <p>Онлайн консультирование клиентов по ассортименту магазина (витамины и косметика);</p> </li> <li> <p>Работа с социальными сетями магазина;</p> </li> <li> <p>Обработка заказов клиентов.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Свободное владение русским, киргизским языками;</p> </li> <li> <p>Умение грамотно писать на русском и киргизском языках;</p> </li> <li> <p>Уверенный пользователь ПК, навыки в SMM является преимуществом.</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>оклад + %, (в среднем от 25 000 сом до 35 000 сом)</p> </li> <li> <p>График работы:</p> </li> <li> <p><strong>с 19:00 до 07:00 (НОЧНАЯ СМЕНА) / 2/2</strong></p> </li> <li> <p>Работа в офисе (ОФФЛАЙН)</p> </li> </ul>",Ввод данных,Административный персонал,Сменный график,Нет опыта
Оператор call-центра,Кара-Балта,Компания Absolut,35000,45000,KGS,"<strong>Обязанности:</strong> <p>​Прием входящих звонков</p> <strong>Требования:</strong> <ul> <li>Знание русского языка</li> </ul> <p> </p> <strong>Условия:</strong> <p>Своевременная оплата, плюс бонусы и премии за качественную работу. Работа в дружном коллективе. Гибкий график работы с возможностью выбора рабочих часов</p>",Ввод данных,Административный персонал,Полный день,Нет опыта
Личный помощник руководителя,Бишкек,Строительная Компания Alladin,40000,50000,KGS,"<p>В строительную компанию «Nova Home требуются опытный ассистент руководителя</p> <p><strong>Обязанности:</strong></p> <ul> <li>Выполнять поручения руководителя,</li> <li>Работа всегда рядом с руководителем</li> <li>Искать нужную информацию в интернете</li> <li>Организовывать командировки рукководителя</li> <li>Заполнять встречи в календарь</li> <li>отчеты по работам</li> <li>Кратко - правая рука компании</li> <li>Управлять проектами и персоналом</li> </ul> <strong>Требования:</strong> <ul> <li>Навыки продаж</li> <li>С компьютеров на ТЫ,</li> <li>Знания Exсel</li> <li>Отличное владение поисковыми системами (Гугл, яндекс)</li> <li>Умение быстро и качественно учиться,</li> <li>Ответственные</li> <li>Честные</li> <li>Жизнерадостные,</li> <li>Веселые,</li> <li>Общительные,</li> <li>Добрые,</li> <li>Развивающиеся</li> <li>Аккуратные</li> </ul> <strong>Условия:</strong> <ul> <li>график работы 6/1 с 9:00 до 17:00,</li> <li>в офисе в центре города, (советская/токтогула)</li> <li>бесплатная связь</li> <li>премии и бонусы</li> <li>прилагайте фотографии к резюме</li> </ul>",Персональный ассистент,Административный персонал,Полный день,От 1 года до 3 лет
